,description,amount,name,unitName,foodPortions_amount,gramWeight,name
207,"Blueberries, raw","[0.34, 6.18, 13.0, 85.6, 0.0, 0.085, 0.046, 0.112, 8.06, 0.306, 0.423, 0.229, 0.0, 0.0, 4.42, 4.94, 0.0, 0.0, 84.2, 11.7, 0.703, 14.6, 63.9, 57.4, 9.36, 0.3]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Vitamin C, total ascorbic acid', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Sucrose', 'Galactose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Sugars, Total', 'Biotin']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'µg']",[],[],[]
208,"Grapes, red, seedless, raw","[0.162, 8.56, 24.9, 229.0, 7.0, 0.036, 0.081, 0.146, 3.31, 0.164, 0.098, 0.535, 0.0, 0.0, 8.17, 9.17, 0.0, 0.0, 78.2, 10.2, 85.9, 0.914, 20.2, 77.2, 17.3, 0.122]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Vitamin C, total ascorbic acid', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Sucrose', 'Galactose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Water', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Sugars, Total', 'Biotin']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'g', 'µg']",[],[],[]
209,"Grapes, green, seedless, raw","[0.199, 7.12, 22.0, 218.0, 3.17, 0.027, 0.061, 0.144, 3.02, 0.232, 0.084, 0.385, 0.0, 0.0, 7.49, 8.65, 0.0, 0.0, 79.9, 9.9, 80.1, 0.899, 18.6, 71.9, 16.1, 0.111]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Vitamin C, total ascorbic acid', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Sucrose', 'Galactose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Water', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Sugars, Total', 'Biotin']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'g', 'µg']",[],[],[]
210,"Applesauce, unsweetened, with added vitamin C","[0.045, 3.94, 9.12, 108.0, 0.504, 0.003, 0.0, 0.039, 43.7, 0.037, 426.0, 0.0, 0.0, 5.41, 87.1, 0.044, 0.162, 0.202, 1.36, 0.0, 2.45, 5.86, 0.0, 0.0, 3.82, 12.3, 0.273, 51.6, 46.4, 9.66, 0.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Citric acid', 'Copper, Cu', 'Vitamin C, total ascorbic acid', 'Manganese, Mn', 'Malic acid', 'Oxalic acid', 'Pyruvic acid', 'Quinic acid', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Sucrose', 'Galactose', 'Glucose', 'Fructose', 'Lactose', 'Maltose', 'Calcium, Ca', 'Carbohydrate, by difference', 'Protein', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Sugars, Total', 'Biotin']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'µg']",[],[],[]
211,"Flour, amaranth","[7.56, 233.0, 425.0, 396.0, 0.0, 3.0, 0.518, 0.0, 2.3, 0.059, 0.175, 35.1, 0.748, 1.09, 0.387, 25.4, 9.49, 2.26, 6.24, 2.29, 9.04, 55.7, 7.86, 7.21, 135.0, 13.2, 68.8, 384.0, 378.0, 21.1]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
212,"Flour, quinoa","[4.53, 164.0, 369.0, 551.0, 6.32, 2.77, 0.482, 0.0, 2.02, 0.345, 0.316, 17.6, 1.21, 0.148, 0.222, 26.2, 9.95, 2.04, 6.6, 2.0, 6.95, 58.1, 6.33, 6.3, 37.6, 11.9, 69.5, 385.0, 378.0, 4.1]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
213,"Flour, sorghum","[3.72, 116.0, 262.0, 335.0, 0.0, 1.66, 0.237, 0.188, 1.08, 0.27, 0.15, 48.2, 3.95, 0.0, 0.166, 24.2, 9.41, 1.42, 3.59, 1.34, 8.16, 66.3, 7.43, 6.02, 11.4, 375.0, 8.27, 77.4, 364.0, 12.4]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'µg']",[],[],[]
214,"Flour, buckwheat","[3.84, 167.0, 282.0, 378.0, 0.0, 1.76, 0.53, 0.0, 1.54, 0.241, 0.16, 44.6, 3.84, 0.0, 0.17, 15.1, 12.0, 1.52, 2.48, 1.57, 11.4, 59.0, 10.7, 10.4, 30.6, 358.0, 8.88, 75.0, 334.0, 15.7]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'µg']",[],[],[]
215,"Flour, rye","[2.54, 95.4, 280.0, 434.0, 0.0, 2.33, 0.338, 1.91, 2.13, 0.216, 0.17, 75.5, 1.16, 4.9, 0.164, 8.98, 11.1, 1.44, 1.91, 1.4, 17.9, 54.1, 13.0, 13.7, 32.2, 8.4, 77.2, 359.0, 351.0, 16.6]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
216,"Flour, barley","[3.3, 88.0, 234.0, 367.0, 20.3, 2.14, 0.394, 4.2, 1.18, 0.225, 0.146, 57.4, 5.94, 2.31, 0.2, 8.61, 9.9, 1.5, 2.45, 1.53, 16.2, 56.9, 13.8, 12.8, 35.6, 8.72, 77.4, 367.0, 357.0, 13.1]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
217,"Flour, cassava","[3.99, 33.6, 39.2, 198.0, 13.1, 0.41, 0.077, 0.0, 0.395, 0.051, 0.068, 2.53, 0.6, 1.39, 0.05, 0.519, 10.6, 0.158, 0.494, 0.715, 7.66, 79.7, 6.27, 4.83, 74.6, 357.0, 0.918, 87.3, 359.0, 0.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'µg']",[],[],[]
218,"Buckwheat, whole grain","[2.44, 203.0, 374.0, 414.0, 0.0, 2.24, 0.476, 0.0, 1.23, 0.539, 0.178, 55.2, 5.37, 0.0, 0.278, 18.6, 13.0, 1.9, 3.04, 1.82, 4.8, 61.6, 4.1, 4.05, 13.6, 356.0, 11.1, 71.1, 332.0, 13.6]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Energy (Atwater General Factors)', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kcal', 'g', 'g', 'kcal', 'µg']",[],[],[]
219,"Millet, whole grain","[2.53, 106.0, 258.0, 214.0, 0.0, 2.26, 0.488, 0.0, 0.924, 0.411, 0.136, 29.5, 4.86, 0.0, 0.192, 11.4, 10.2, 1.72, 4.19, 1.13, 3.33, 67.1, 2.73, 2.62, 9.1, 10.0, 74.4, 376.0, 381.0, 23.1]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Beta-glucan', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Vitamin B-6', 'Biotin', 'Water', 'Nitrogen', 'Total lipid (fat)', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Fiber, total dietary', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'mg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
220,"Rice, brown, long grain, unenriched, raw","[1.24, 115.0, 303.0, 250.0, 0.0, 1.85, 0.266, 1.22, 3.31, 2.7, 0.326, 0.102, 63.9, 6.27, 1.28, 4.3, 0.501, 71.6, 3.38, 0.161, 3.02, 4.99, 11.5, 8.06, 7.25, 76.7, 366.0, 368.0, 14.8]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Vitamin B-6', 'Fiber, total dietary', 'Biotin', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'µg', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
221,"Rice, white, long grain, unenriched, raw","[0.14, 26.5, 108.0, 82.3, 0.462, 1.35, 0.214, 1.18, 1.03, 0.981, 0.065, 0.08, 64.2, 1.43, 0.425, 2.77, 0.296, 74.4, 1.93, 0.058, 0.149, 0.0, 11.2, 4.46, 80.3, 7.04, 359.0, 370.0, 6.6]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Thiamin', 'Riboflavin', 'Molybdenum, Mo', 'Niacin', 'Ash', 'Total dietary fiber (AOAC 2011.25)', 'Low Molecular Weight Dietary Fiber (LMWDF)', 'Starch', 'High Molecular Weight Dietary Fiber (HMWDF)', 'Vitamin B-6', 'Fiber, total dietary', 'Biotin', 'Water', 'Calcium, Ca', 'Carbohydrate, by difference', 'Protein', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Selenium, Se']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'µg', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'µg']",[],[],[]
222,"Beef, ground, 90% lean meat / 10% fat, raw","[2.13, 16.5, 148.0, 281.0, 65.9, 61.6, 4.19, 0.056, 2.9, 12.8, 0.0, 0.846, 69.0, 7.14, 18.2, 0.0, 185.0, 190.0, 0.361, 4.48, 0.484, 5.05]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Cholesterol', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Fatty acids, total polyunsaturated', 'Fatty acids, total monounsaturated', 'Fatty acids, total trans', 'Fatty acids, total saturated']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g', 'g', 'g']",[],[],[]
223,"Beef, ground, 80% lean meat / 20% fat, raw","[1.96, 16.4, 144.0, 273.0, 67.7, 54.9, 3.85, 0.055, 2.8, 19.4, 0.0, 0.828, 62.8, 6.89, 17.5, 0.0, 243.0, 248.0, 0.485, 7.25, 0.7, 6.84]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Cholesterol', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Fatty acids, total polyunsaturated', 'Fatty acids, total monounsaturated', 'Fatty acids, total trans', 'Fatty acids, total saturated']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g', 'g', 'g']",[],[],[]
224,"Pork, ground, raw","[0.788, 19.0, 173.0, 318.0, 71.2, 53.6, 2.23, 0.067, 2.85, 17.5, 0.0, 0.924, 63.9, 5.86, 17.8, 0.0, 228.0, 233.0, 2.55, 7.78, 0.066, 6.28]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Cholesterol', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Fatty acids, total polyunsaturated', 'Fatty acids, total monounsaturated', 'Fatty acids, total trans', 'Fatty acids, total saturated']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g', 'g', 'g']",[],[],[]
225,"Chicken, ground, with additives, raw","[0.593, 20.5, 166.0, 302.0, 81.7, 63.0, 1.18, 0.036, 2.87, 7.16, 0.005, 0.969, 74.7, 5.82, 17.9, 0.0, 133.0, 138.0, 1.38, 2.17, 0.021, 1.56]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Cholesterol', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Fatty acids, total polyunsaturated', 'Fatty acids, total monounsaturated', 'Fatty acids, total trans', 'Fatty acids, total saturated']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g', 'g', 'g']",[],[],[]
226,"Turkey, ground, 93% lean/ 7% fat, raw","[1.09, 17.3, 162.0, 246.0, 82.3, 80.2, 2.95, 0.076, 2.78, 9.59, 0.016, 0.945, 72.9, 23.6, 17.3, 0.0, 153.0, 158.0, 2.59, 2.87, 0.081, 2.26]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Cholesterol', 'Sodium, Na', 'Zinc, Zn', 'Copper, Cu', 'Nitrogen', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)', 'Fatty acids, total polyunsaturated', 'Fatty acids, total monounsaturated', 'Fatty acids, total trans', 'Fatty acids, total saturated']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal', 'g', 'g', 'g', 'g']",[],[],[]
227,"Nuts, brazilnuts, raw","[2.47, 351.0, 707.0, 592.0, 0.0, 3.82, 2.75, 1.74, 57.4, 1.26, 3.63, 280.0, 5.98, 2.26, 168.0, 15.0, 21.6, 664.0, 621.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Nitrogen', 'Copper, Cu', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Selenium, Se', 'Fiber, total dietary', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'µg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal']",[],[],[]
228,"Nuts, cashew nuts, raw","[5.99, 251.0, 532.0, 638.0, 4.76, 5.07, 3.29, 2.22, 38.9, 1.95, 2.6, 20.7, 4.1, 4.81, 42.0, 17.4, 36.3, 565.0, 533.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Nitrogen', 'Copper, Cu', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Selenium, Se', 'Fiber, total dietary', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'µg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal']",[],[],[]
229,"Nuts, hazelnuts or filberts, raw","[3.46, 156.0, 321.0, 636.0, 0.0, 2.33, 2.55, 1.41, 53.5, 6.06, 2.21, 0.0, 8.41, 4.31, 135.0, 13.5, 26.5, 641.0, 602.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Nitrogen', 'Copper, Cu', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Selenium, Se', 'Fiber, total dietary', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'µg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal']",[],[],[]
230,"Peanuts, raw","[1.55, 180.0, 380.0, 636.0, 1.49, 2.78, 4.25, 0.46, 43.3, 1.68, 2.2, 17.8, 8.01, 4.82, 49.1, 23.2, 26.5, 588.0, 551.0]","['Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Nitrogen', 'Copper, Cu', 'Total lipid (fat)', 'Manganese, Mn', 'Ash', 'Selenium, Se', 'Fiber, total dietary', 'Water', 'Calcium, Ca', 'Protein', 'Carbohydrate, by difference', 'Energy (Atwater General Factors)', 'Energy (Atwater Specific Factors)']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'mg', 'g', 'mg', 'g', 'µg', 'g', 'g', 'mg', 'g', 'g', 'kcal', 'kcal']",[],[],[]
